ruolo,nome,squadra,qt_fanta,ia,fascia_o_valore,note,sos,accoppiata,fv,pg,media,fmedia,gol,ass,amm,gol_subiti,p_med_aste,p_stat,p_gol_m,tr_media,tr_gol
D,Kristensen T.,Atalanta,6,66.78,Quarta,Inaffidabile,Cartellini,Frosinone Bologna Cagliari,0.6592020150328226,28,5.98,6.23,3,0,4,,3.0500000000000003,3.301613292291892,5.494411006018916,1,1
D,Obrador,Sassuolo,6,66.78,jolly,Mod.,Bonus,Inter Parma Bologna,,,,,,,,,1.075, Prezzo N.D.,,,
D,Fortini,Torino,6,66.78,jolly,Scommessa,Mod.,Juventus Lazio Lecce,,,,,,,,,0.85, Prezzo N.D.,,,
D,Leysen F.,Sassuolo,6,66.78,titolare,Scommessa,,Inter Parma Bologna,,,,,,,,,0.55, Prezzo N.D.,,,
D,Balerdi,Roma,6,66.78,jolly,Scommessa,,Lazio Napoli Juventus,,,,,,,,,0.675, Prezzo N.D.,,,
D,Caleta-Car,Sassuolo,6,66.78,,,,Inter Parma Bologna,,,,,,,,,0.475, Prezzo N.D.,,,
D,Patterson,Torino,5,64.25,jolly,Scommessa,,Juventus Lazio Lecce,,,,,,,,,0.55, Prezzo N.D.,,,
D,Kofler,Cagliari,5,64.25,,,,Atalanta Fiorentina Venezia,0. N.D,,,,,,,,0.525, Prezzo N.D.,,,
D,Zè Pedro,Cagliari,5,64.25,titolare,Inaffidabile,,Atalanta Fiorentina Venezia,0.5149975072069961,22,5.77,5.68,0,1,6,,0.675,2.0680368648780934,0,1,1
D,Kempf,Como,5,64.25,jolly,Mod.,,Fiorentina Frosinone Genoa,0.7123572797941041,29,6.12,6.52,4,1,3,,1.4,2.8605597016731994,7.3258813413585555,1,1
D,Valdepenas,Fiorentina,5,64.25,Terza,,,Cagliari Como Lazio,0. N.D,,,,,,,,3.8249999999999997, Prezzo N.D.,,,
D,Calvani,Frosinone,5,64.25,titolare,,Mod.,Atalanta Como Napoli,0. N.D,,,,,,,,0.575, Prezzo N.D.,,,
D,Kelly L.,Juventus,5,64.25,Terza,Titolare,Mod.,Torino Genoa Roma,0.6385630488574098,35,6.01,6.07,1,1,4,,1.45,2.564229743068036,1.8314703353396389,1,1
D,Gaspar K.,Lecce,5,64.25,Quarta,Mod.,Infortuni,Parma Bologna Fiorentina,0.48256423424100475,21,5.83,5.64,0,0,6,,0.775,1.9377970031240346,0,-1,-1
D,De Winter,Milan,5,64.25,Quarta,Cartellini,Infortuni,Inter Parma Cagliari,0.5819756259927755,24,5.75,5.9,1,1,1,,1.55,2.3369958731272398,1.8314703353396389,-1,-1
D,Olivera,Napoli,5,64.25,Scommessa,Jolly,,Roma Bologna Frosinone,0.5250866337667109,22,5.75,5.68,0,0,3,,0.75,2.1085510137194485,0,-1,-1
D,Ghilardi,Roma,5,64.25,Scommessa,Cartellini,,Lazio Napoli Juventus,0.5429521447598054,21,5.98,5.95,0,0,1,,0.625,2.180292206301093,0,1,-1
D,Doig,Sassuolo,5,64.25,titolare,Inaffidabile,Bonus,Inter Parma Bologna,0.5474360580174854,27,5.85,5.76,0,0,5,,0.775,2.198297920476465,0,1,1
D,Bella-Kotchap,Venezia,5,64.25,titolare,,,Cagliari Monza Bologna,0.5082907053449903,18,5.83,5.75,0,0,3,,0.825,2.0411048636509768,0,1,1
D,Correia T.,Venezia,5,64.25,jolly,Scommessa,,Cagliari Monza Bologna,0. N.D,,,,,,,,0.7, Prezzo N.D.,,,
D,Haps,Venezia,5,64.25,Quarta,Titolare,Bonus,Cagliari Monza Bologna,0. N.D,,,,,,,,0.95, Prezzo N.D.,,,
D,Kossounou,Atalanta,4,60.96,jolly,Infortuni,Mod.,Frosinone Bologna Cagliari,0.5476605841113971,16,5.94,6.09,1,0,1,,0.975,1.6692694603715383,1.8314703353396389,1,1
