ruolo,nome,squadra,qt_a,and_med,and_gol,rating_fv,s1_pg,s1_mv,s1_mf,s1_gf,s1_rc,s1_rpiu,s1_rmeno,s1_ass,s1_asf,s1_amm,s1_esp,s1_au,s2_pg,s2_mv,s2_mf,s2_gf,s2_rc,s2_rpiu,s2_rmeno,s2_ass,s2_asf,s2_amm,s2_esp,s2_au
D,Smolcic I.,Como,4,1,-1,0.531642129233266,25,5.96,5.84,0,0,0,0,1,,8,0,0,8,5.81,5.75,0,0,0,0,2,,2,0,0
D,Pongracic,Fiorentina,4,1,-1,0.5550640881117598,35,5.84,5.67,0,0,0,0,0,,12,0,0,17,5.85,5.65,0,0,0,0,1,,1,1,1
D,Gatti,Juventus,4,1,1,0.5705442449531731,16,5.94,6.22,2,0,0,0,0,,3,0,0,28,6.14,6.21,1,0,0,0,2,,2,0,0
D,Siebert,Lecce,4,1,1,0.5378416173704132,19,5.68,5.76,1,0,0,0,0,,3,0,0,,,,,,,,,,,,
D,Valenti,Parma,4,-1,-1,0.543510942992894,27,5.96,5.83,0,0,0,0,0,,7,0,0,20,5.85,5.85,1,0,0,0,4,,4,1,0
D,Ghilardi,Roma,5,1,-1,0.5429521447598054,21,5.98,5.95,0,0,0,0,0,,1,0,0,24,5.73,5.54,0,0,0,0,7,,7,1,0
D,Walukiewicz,Sassuolo,4,1,-1,0.5763927492387773,34,5.81,5.74,0,0,0,0,1,,7,0,0,28,5.73,5.64,0,0,0,0,6,,6,0,0
D,Doig,Sassuolo,5,1,1,0.5474360580174854,27,5.85,5.76,0,0,0,0,0,,5,0,0,,,,,,,,,,,,
D,Kabasele,Udinese,4,-1,1,0.6283476599638077,28,5.98,6.18,3,0,0,0,0,,5,1,0,16,5.84,6.22,2,0,0,0,0,,0,0,0
D,Bertola,Udinese,4,1,1,0.5513390989302357,25,5.86,5.84,0,0,0,0,1,,3,0,0,,,,,,,,,,,,
D,Zanoli,Udinese,4,1,-1,0.5779013461643582,19,6.05,6.29,1,0,0,0,2,,1,0,0,27,5.91,5.96,1,0,0,0,3,,3,0,0
D,Arizala,Udinese,4,1,1,0.4539058259642443,5,5.8,5.8,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
D,Akpoguma,Frosinone,3,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Cittadini,Frosinone,4,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Carboni A.,Monza,3,,,0. N.D,,,,,,,,,,,,,26,5.63,5.62,0,0,0,0,5,,5,0,0
D,Schingtienne,Venezia,3,,,0. N.D,,,,,,,,,,,,,15,5.7,5.63,0,0,0,0,2,,2,0,0
D,Sverko,Venezia,3,,,0. N.D,,,,,,,,,,,,,14,5.75,5.86,1,0,0,0,3,,3,0,0
D,Hainaut,Venezia,4,,,0. N.D.,0,0,0,0,0,0,0,0,,0,0,0,22,5.86,6.07,2,0,0,0,3,,3,0,0
D,Kossounou,Atalanta,4,1,1,0.5476605841113971,16,5.94,6.09,1,0,0,0,0,,1,0,0,17,5.94,5.91,0,0,0,0,1,,1,0,0
D,Casale,Bologna,3,1,-1,0.47174945932179335,10,5.65,5.65,0,0,0,0,0,,0,0,0,15,5.63,5.53,0,0,0,0,1,,1,0,1
D,Rodriguez Ju.,Cagliari,4,1,1,0.5191868414491727,16,5.62,5.72,1,0,0,0,0,,3,0,0,,,,,,,,,,,,
D,Idrissi R.,Cagliari,3,1,1,0.5687678978502898,17,5.82,6.09,2,0,0,0,0,,3,0,0,,,,,,,,,,,,
D,Ranieri L.,Fiorentina,3,-1,-1,0.559209094845634,31,5.85,5.79,1,0,0,0,0,,8,1,0,36,5.92,5.96,1,0,0,0,7,,7,0,0
D,Joao Mario,Fiorentina,3,1,1,0.5286285147591941,14,5.79,6,1,0,0,0,1,,2,0,0,,,,,,,,,,,,
D,Provstgaard,Lazio,4,-1,-1,0.5396485382900374,23,5.91,5.85,0,0,0,0,0,,3,0,0,1,6.5,6.5,0,0,0,0,1,,1,0,0
D,Floriani Mussolini,Lazio,4,1,1,0.5379744521872478,23,5.72,5.72,0,0,0,0,1,,2,0,0,,,,,,,,,,,,
D,De Winter,Milan,5,-1,-1,0.5819756259927755,24,5.75,5.9,1,0,0,0,1,,1,0,0,24,5.85,6.1,3,0,0,0,6,,6,0,0
