id,stagione,squadra,ruolo,minuti,pg,mv,mf,gf,gs,rp,rc,rpiu,rmeno,ass,amm,esp,au
2194,2024-25,Inter,C,1999,28,6.34,6.89,5,0,0,4,3,1,6,5,0,0
2194,2025-26,Inter,C,1674,22,6.52,7.64,9,0,0,5,4,1,4,7,0,0
2263,2024-25,Lazio,D,1408,22,5.89,5.86,0,0,0,0,0,0,1,3,0,0
2263,2025-26,Lazio,D,917,17,5.79,5.74,0,0,0,0,0,0,0,2,0,0
2296,2024-25,Roma,D,3152,37,6.18,6.26,2,0,0,0,0,0,1,8,0,0
2296,2025-26,Roma,D,3087,36,6.25,6.51,4,0,0,0,0,0,2,9,0,0
2297,2024-25,Atalanta,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
2297,2025-26,Atalanta,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
2379,2025-26,Milan,C,2546,29,6.33,6.98,6,0,0,0,0,0,4,4,1,0
2401,2024-25,Lecce,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,2025-26,Lecce,P,,0,0,0,0,0,0,0,0,0,0,0,0,0
2423,2024-25,Milan,C,2518,34,6.38,7.49,11,0,0,4,3,1,8,1,0,0
2423,2025-26,Milan,C,1612,27,6.15,7.07,8,0,0,1,0,1,4,0,0,0
2517,2025-26,Napoli,C,1176,17,6.26,7.24,5,0,0,3,3,0,2,1,0,0
2521,2024-25,Fiorentina,P,3150,35,6.34,5.41,0,38,2,0,0,0,0,1,0,0
2521,2025-26,Fiorentina,P,3330,37,6.24,5,0,49,1,0,0,0,0,0,0,0
2528,2025-26,Sassuolo,C,2686,34,5.96,5.96,1,0,0,0,0,0,1,6,1,0
2529,2024-25,Inter,C,2441,32,6.06,6.25,1,0,0,0,0,0,5,4,0,0
2529,2025-26,Inter,C,1547,28,6.21,6.59,4,0,0,0,0,0,1,5,0,0
2531,2024-25,Napoli,A,2913,36,6.29,7.57,14,0,0,4,3,1,9,4,0,0
2531,2025-26,Napoli,A,33,1,7,9.5,1,0,0,0,0,0,0,1,0,0
2593,2024-25,Genoa,D,3100,36,6.17,6.32,0,0,0,0,0,0,8,5,0,0
2593,2025-26,Genoa,D,2167,29,5.97,6.1,1,0,0,1,0,1,5,2,0,0
2606,2025-26,Milan,C,2827,33,6.45,6.67,2,0,0,0,0,0,3,4,0,0
2640,2024-25,Atalanta,D,1917,23,6.13,5.98,0,0,0,0,0,0,2,7,0,1
2640,2025-26,Atalanta,D,1233,17,6.03,5.94,0,0,0,0,0,0,0,3,0,0
2724,2024-25,Napoli,D,1931,22,6.36,6.45,1,0,0,0,0,0,0,2,0,0
2724,2025-26,Napoli,D,2526,32,5.89,5.88,0,0,0,0,0,0,1,3,0,0
2728,2024-25,Lazio,D,1045,19,6.08,6.11,0,0,0,0,0,0,3,5,0,0
2728,2025-26,Lazio,D,1485,24,5.85,5.81,1,0,0,0,0,0,0,8,0,0
