id,titolarita,accordo,presenze_web,fonti,ballottaggio_con,ballottaggio_pct,rigorista,stato,rientro_stimato,partite_saltate,fuori_lista
7131,0.543,0.086,22.6,2,2263,,,,,,0
7138,0.4,0.2,20.9,1,,,,,,,0
7146,0.2,0.6,17.7,1,,,,,,,0
7154,0.1,0.8,15.1,1,,,,,,,0
7156,0.0,1.0,12.7,0,,,,lesione del legamento crociato anteriore,2026-10-10,2,0
7157,0.0,1.0,0.0,0,,,,,,,1
7158,0.0,1.0,0.0,0,,,,,,,1
7161,0.1,0.8,14.9,1,,,,,,,0
7162,0.0,1.0,12.5,0,,,,"ernia inguinale, operato il 3 settembre",2026-10-05,2,0
7164,0.0,1.0,0.0,0,,,,,,,1
7165,0.057,0.886,15.4,1,,,,,,,0
7172,0.02,0.96,2.9,1,,,,,,,0
7175,0.4,0.2,20.2,1,,,,,,,0
7181,1.0,1.0,30.4,4,,,,,,,0
7182,0.114,0.771,15.3,1,4502,,,,,,0
7183,0.12,0.76,16.4,1,,,,,,,0
7198,0.957,0.914,25.8,5,7208,61,,ablazione per aritmia benigna,2026-10-27,5,0
7202,0.22,0.56,17.1,1,,,,,,,0
7203,0.157,0.686,17.0,1,2606,,,,,,0
7208,0.171,0.657,17.2,1,7198,28,,,,,0
7209,0.0,1.0,0.0,0,,,,,,,1
7211,0.0,1.0,0.0,0,,,,,,,1
7212,1.0,1.0,30.4,4,,,,,,,0
7213,0.16,0.68,15.9,1,,,,,,,0
7219,0.64,0.28,24.3,3,2640,67,,,,,0
7220,0.84,0.68,27.7,4,7060,52,,,,,0
7223,0.4,0.2,20.9,1,,,,,,,0
7232,0.22,0.56,18.0,1,,,,,,,0
7235,1.0,1.0,30.4,4,,,,,,,0
7238,0.6,0.2,23.6,2,,,,,,,0
7240,0.429,0.143,20.7,2,,,,,,,0
7248,0.729,0.457,26.1,4,5457,55,,,,,0
7249,0.0,1.0,0.0,0,,,,,,,1
7252,0.686,0.371,24.8,3,5029,,2,,,,0
7253,1.0,1.0,28.8,4,,,,risentimento all adduttore della gamba destra,2026-10-05,2,0
7255,0.4,0.2,20.2,1,,,,,,,0
7260,0.6,0.2,23.6,3,,,,fascite plantare,2026-09-11,0,0
7268,0.971,0.943,29.9,5,,,,,,,0
7272,0.171,0.657,16.1,1,,,,,,,0
7274,0.829,0.657,27.5,4,,,,,,,0
7276,0.16,0.68,17.0,1,,,,,,,0
7294,1.0,1.0,30.4,4,,,,,,,0
7301,0.62,0.24,22.0,4,4485,58,,,,,0
7311,0.971,0.943,29.9,5,,,,,,,0
7312,0.0,1.0,12.7,0,,,,lesione al bicipite femorale,2026-10-10,2,0
7313,0.0,1.0,0.0,0,,,,,,,1
7314,0.971,0.943,29.9,5,,,2,,,,0
